Players,PG,SG,SF,PF,C,Year 1,Year 2,Year 3,Year 4,Year 5,Salary,SUNS,EWA,TS%,AST,TO,REBR,POP
Michael Beasley,0,0,1,1,0,1,0,0,1,0,2.116955,0,5.7,0.559,12.2,9.8,8.7,0
Alex Len,0,0,0,0,1,1,0,0,1,0,4.187599,1,5.6,0.588,10.6,9.5,9.2,0
Kyle O'Quinn,0,0,0,1,1,0,1,0,0,1,4.0875,0,5.6,0.615,19.5,13.8,13.5,0
Domantas Sabonis,0,0,0,1,1,0,0,1,0,0,2.55,0,5.6,0.546,16.1,9.2,6.4,0
Jeff Teague,1,1,0,0,0,0,0,1,0,0,19,0,5.5,0.509,29.4,11.3,5.9,0
Draymond Green,0,0,1,1,1,0,0,1,0,0,16.4,0,5.5,0.582,11.2,9.5,4.5,1
Spencer Dinwiddie,1,1,0,0,0,0,1,0,0,1,1.524305,0,5.5,0.542,33.1,10.9,7,0
Jayson Tatum,0,0,1,1,0,0,0,0,1,0,5.6454,0,5.4,0.587,15.1,11.4,12.3,0
Buddy Hield,0,1,1,0,0,0,0,1,0,0,3.67548,0,5.4,0.538,30.2,12.9,8.3,1
Jordan Clarkson,1,1,0,0,0,0,0,1,0,0,11.5625,0,5.3,0.615,10.1,8.9,12.2,0
Kelly Olynyk,0,0,0,1,1,0,0,0,1,0,10.607169,0,5.3,0.581,25.5,12.2,11.3,0
John Wall,1,1,0,0,0,0,1,0,0,1,18.06385,0,5.2,0.559,11.8,9.2,9,1
Eric Gordon,0,1,0,0,0,0,0,1,0,0,12.94302,0,5.2,0.566,15.6,8.8,19.4,0
JJ Barea,1,0,0,0,0,0,1,0,0,1,3.9039,0,5.2,0.535,11.4,8.6,13.6,0
Taj Gibson,0,0,0,1,0,0,1,0,0,1,14,0,5.1,0.577,14.5,8.3,5.4,0
Elfrid Payton,1,0,0,0,0,1,0,0,1,0,3.33234,0,5.1,0.584,14.8,11.3,15.5,0
Dario Saric,0,0,0,1,0,0,0,1,0,0,2.42256,0,5.1,0.633,8.4,13.8,14.4,0
Brook Lopez,0,0,0,0,1,1,0,0,1,0,22.64235,0,4.9,0.607,16.4,8.3,4.6,0
Kyle Anderson,1,1,1,0,0,1,0,0,1,0,2.151704,0,4.9,0.621,29.3,12.3,7.7,0
Kosta Koufos,0,0,0,0,1,0,1,0,0,1,8.393,0,4.8,0.642,10.5,14.4,14.5,0
Aaron Gordon,0,0,1,1,0,1,0,0,1,0,5.50442,0,4.8,0.605,21.1,13.1,13.5,1
Evan Fournier,0,1,1,0,0,0,0,0,1,0,17,0,4.7,0.593,11.8,7.9,14.1,0
John Henson,0,0,0,1,1,0,0,1,0,0,11.422536,0,4.7,0.529,19,6.4,9.8,0
Jarrett Allen,0,0,0,0,1,0,0,0,1,0,1.71372,0,4.7,0.529,12.1,11,15,0
JJ Redick,0,1,0,0,0,1,0,0,1,0,23,0,4.6,0.582,20.8,14.9,15.7,0
Joe Ingles,0,0,1,1,0,0,0,0,1,0,14.136364,0,4.5,0.548,17.3,11.1,17.1,0
Jakob Poeltl,0,0,0,0,1,0,0,1,0,0,2.82564,0,4.5,0.584,16.2,14.9,0,0
Trey Lyles,0,0,0,1,1,0,1,0,0,1,2.4414,0,4.5,0.549,13,8.8,11.7,0
David West,0,0,0,1,1,1,0,0,1,0,2.328652,0,4.5,0.578,25.5,12.8,10.5,0
Terry Rozier,1,1,0,0,0,0,1,0,0,1,1.98852,0,4.5,0.605,10.3,9.2,6.2,0
